,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Report"" for : ANDAMAN AND NICOBAR ISLANDS for year 2024-2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment Year,2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top View,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Type,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No,STATE,DISTRICT,ASSESSMENT UNIT,Rainfall (mm),,,,Total Geographical Area (ha),,,,,,Ground Water Recharge (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inflows and Outflows (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual Ground water Recharge (ham),,,,Environmental Flows (ham),,,,Annual Extractable Ground water Resource (ham),,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,Stage of Ground Water Extraction (%),,,,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),,,,Net Annual Ground Water Availability for Future Use (ham),,,,Quality Tagging,,,,,,Additional Potential Resources Under Specific Conditions(ham),,,Coastal Areas,,,,In-Storage Unconfined Ground Water Resources(ham),,Total Ground Water Availability in Unconfined Aquifier (ham),,Dynamic Confined Ground Water Resources(ham),,In-Storage Confined Ground Water Resources(ham),,Total Confined Ground Water Resources (ham),,Dynamic Semi Confined Ground Water Resources (ham),,In-Storage Semi Confined Ground Water Resources (ham),,Total Semi-Confined Ground Water Resources (ham),,Total Ground Water Availability in the area (ham),
,,,,,,,,Recharge Worthy Area (ha),,,,Hilly Area,Total,Rainfall Recharge,,,,Canals,,,,Surface Water Irrigation,,,,Ground Water Irrigation,,,,Tanks and Ponds,,,,Water Conservation Structure,,,,Pipelines,,,,Sewages and Flash Flood Channels,,,,C,NC,PQ,Total,Base Flow,,,,Stream Recharges,,,,Lateral Flows,,,,Vertical Flows,,,,Evaporation,,,,Transpiration,,,,Evapotranspiration,,,,C,NC,PQ,Total,,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,Major Parameter Present,,,Other Parameters Present,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,MAHARASHTRA,Dhule,,653,643,0,643,49061,593071,0,642132,0,642132,4029,47032,,51061,675,0,,675,10794,0,,10794,1860,6540,,8400,133,455,,587,560,5959,,6520,,,,,,,,,18051,59986,,78037,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,,,,,18051,59986,,78037,1060,2999,,4060,16991,56987,,73978,328,1428,,1756,6,97,,103,7687,26235,,33922,8021,27760,,35782,47,49,,48,328,1428,,1756,8969,29227,,38196,,,,,,,,,,,,,,0,,73978,,,,,,,,,,,,,,73978,0
395,MAHARASHTRA,Gadchiroli,,1212,1305,0,1303,22680,863969,0,886649,0,886649,1828,90834,,92662,348,0,,348,3564,0,,3564,266,8260,,8526,140,1082,,1222,3,1338,,1342,,,,,,,,,6151,101514,,107664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6151,101514,,107664,391,5886,,6277,5760,95627,,101387,510,4210,,4719,0,1,,2,689,21123,,21812,1199,25334,,26533,21,26,,26,510,4210,,4719,4561,70293,,74855,,,,,,,,,,,,,,0,,101387,,,,,,,,,,,,,,101387,0
396,MAHARASHTRA,Gondia,,1463,1502,0,1495,81246,378459,0,459705,0,459705,6924,36366,,43290,2001,0,,2001,12741,0,,12741,1066,1661,,2727,1002,787,,1789,1978,1862,,3840,,,,,,,,,25710,40676,,66387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25710,40676,,66387,1646,2618,,4264,24064,38059,,62123,3428,2602,,6030,109,210,,319,4286,5895,,10181,7823,8707,,16530,33,23,,27,3428,2602,,6030,16241,29352,,45593,,,,,,,,,,,,,,0,,62123,,,,,,,,,,,,,,62123,0
397,MAHARASHTRA,Hingoli,,1004,945,0,967,169191,297050,0,466241,0,466241,19431,32137,,51568,625,0,,625,35863,0,,35863,4365,4662,,9027,20,43,,63,981,5071,,6052,,,,,,,,,61284,41914,,103198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61284,41914,,103198,3114,2096,,5210,58169,39818,,97988,769,1390,,2159,1,2,,3,17707,18649,,36357,18478,20041,,38518,32,50,,39,769,1390,,2159,39691,19863,,59554,,,,,,,,,,,,,,0,,97988,,,,,,,,,,,,,,97988,0
398,MAHARASHTRA,Jalgaon,,673,690,0,687,167090,970793,0,1137883,0,1137883,11989,76794,,88783,1394,0,,1394,17045,0,,17045,6230,16072,,22302,951,1304,,2254,3646,8844,,12489,,,,,,,,,41254,103014,,144267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41254,103014,,144267,2425,5501,,7925,38829,97513,,136342,1282,3606,,4888,153,163,,316,26845,74407,,101253,28280,78176,,106456,73,80,,78,1282,3606,,4888,11584,25384,,36967,,,,,,,,,,,,,,0,,136342,,,,,,,,,,,,,,136342,0
399,MAHARASHTRA,Jalna,,857,860,0,860,54299,717501,0,771800,0,771800,4122,65207,,69329,345,0,,345,8895,0,,8895,1311,9356,,10667,1071,158,,1228,427,6862,,7289,,,,,,,,,16170,81583,,97753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16170,81583,,97753,826,4103,,4929,15344,77480,,92824,150,985,,1135,78,90,,167,5500,39193,,44693,5727,40268,,45995,37,52,,50,1356,3906,,5262,9039,34880,,43919,,,,,,,,,,,,,,0,,92824,,,,,,,,,,,,,,92824,0
400,MAHARASHTRA,Kolhapur,,1644,1675,0,1674,18530,543646,0,562176,0,562176,2218,51638,,53857,673,0,,673,7915,46728,,54643,1110,21283,,22393,0,696,,696,34,3428,,3462,,,,,,,,,11950,123773,,135723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11950,123773,,135723,1153,6825,,7978,10797,116948,,127745,82,2061,,2143,0,0,,0,2466,49728,,52194,2548,51789,,54337,24,44,,43,82,2061,,2143,8249,65159,,73408,,,,,,,,,,,,,,0,,127745,,,,,,,,,,,,,,127745,0
401,MAHARASHTRA,Latur,,694,728,0,726,44924,618624,0,663548,0,663548,2621,44860,,47481,619,0,,619,1298,0,,1298,923,7006,,7929,0,2259,,2259,851,13128,,13979,,,,,,,,,6311,67254,,73565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6311,67254,,73565,316,3494,,3809,5996,63760,,69756,352,1847,,2200,193,0,,193,3758,28353,,32111,4303,30201,,34503,72,47,,49,352,1847,,2200,1956,33560,,35515,,,,,,,,,,,,,,0,,69756,,,,,,,,,,,,,,69756,0
402,MAHARASHTRA,Mumbai,,0,2205,0,2205,0,7004,0,7004,0,7004,,1365,,1365,,,,,,0,,0,,0,,0,,190,,190,,,,,,,,,,,,,,1555,,1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1555,,1555,,78,,78,,1478,,1478,,619,,619,,61,,61,,0,,0,,680,,680,,46,,46,,619,,619,,798,,798,,,,,,,,,,,,,,0,,1478,,,,,,,,,,,,,,1478,0
403,MAHARASHTRA,Mumbai Sub,,0,2142,0,2142,0,36494,0,36494,0,36494,,7596,,7596,,,,,,0,,0,,0,,0,,240,,240,,,,,,,,,,,,,,7836,,7836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7836,,7836,,573,,573,,7264,,7264,,1788,,1788,,82,,82,,0,,0,,1870,,1870,,26,,26,,1788,,1788,,5394,,5394,,,,,,,,,,,,,,0,,7264,,,,,,,,,,,,,,7264,0
404,MAHARASHTRA,Nagpur,,1178,1160,0,1165,226924,572118,0,799042,0,799042,15451,48505,,63956,2034,0,,2034,15261,0,,15261,3016,9477,,12494,1023,376,,1398,14064,39904,,53968,,,,,,,,,50848,98262,,149110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50848,98262,,149110,3073,5744,,8817,47775,92518,,140293,3970,6283,,10252,959,567,,1526,12689,39626,,52314,17618,46475,,64093,37,50,,46,3970,6283,,10253,30267,46043,,76311,,,,,,,,,,,,,,0,,140293,,,,,,,,,,,,,,140293,0
405,MAHARASHTRA,Nanded,,1009,1026,0,1024,124500,893271,0,1017771,0,1017771,13096,93270,,106366,1603,0,,1603,6337,0,,6337,2373,6330,,8702,83,191,,273,275,1431,,1706,,,,,,,,,23767,101222,,124989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23767,101222,,124989,1188,5144,,6332,22579,96078,,118657,1157,2229,,3386,0,1,,1,9500,25365,,34865,10657,27596,,38252,47,29,,32,1157,2229,,3386,11945,68482,,80428,,,,,,,,,,,,,,0,,118657,,,,,,,,,,,,,,118657,0
406,MAHARASHTRA,Nandurbar,,852,943,0,939,18153,397125,0,415278,0,415278,1521,38563,,40084,235,0,,235,4057,0,,4057,426,4097,,4523,204,238,,442,101,2592,,2693,,,,,,,,,6543,45490,,52033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6543,45490,,52033,383,2275,,2658,6160,43215,,49375,822,2170,,2992,0,0,,0,1898,15729,,17627,2720,17899,,20619,44,41,,42,822,2170,,2992,3440,25316,,28756,,,,,,,,,,,,,,0,,49375,,,,,,,,,,,,,,49375,0
407,MAHARASHTRA,Nashik,,744,1015,0,982,165024,1183832,0,1348856,0,1348856,13467,122979,,136446,2478,0,,2478,23220,0,,23220,5474,22868,,28342,528,3002,,3530,552,6568,,7120,,,,,,,,,45719,155417,,201136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45719,155417,,201136,2869,8223,,11092,42850,147194,,190045,807,2787,,3594,20,1183,,1202,19663,84984,,104646,20489,88953,,109442,48,60,,58,807,2787,,3594,23172,63143,,86314,,,,,,,,,,,,,,0,,190045,,,,,,,,,,,,,,190045,0
408,MAHARASHTRA,Osmanabad,,771,768,0,769,40245,631383,0,671628,0,671628,3844,59828,,63672,29,0,,29,26,0,,26,891,11228,,12119,597,767,,1364,10,12773,,12783,,,,,,,,,5396,84597,,89993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5396,84597,,89993,306,4230,,4536,5090,80367,,85457,344,1972,,2316,0,1,,1,3563,45054,,48617,3907,47026,,50934,77,59,,60,344,1972,,2316,1353,33340,,34693,,,,,,,,,,,,,,0,,85457,,,,,,,,,,,,,,85457,0
409,MAHARASHTRA,Palghar,,2196,2525,0,2504,17880,258206,0,276086,0,276086,1150,17183,,18332,379,0,,379,1723,0,,1723,140,831,,971,263,6,,269,29,615,,644,,,,,,,,,3684,18635,,22319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3684,18635,,22319,221,1181,,1402,3463,17454,,20917,146,871,,1017,5,39,,44,562,3325,,3887,713,4235,,4948,21,24,,24,146,871,,1017,2750,13219,,15969,,,,,,,,,,,,,,0,,20917,,,,,,,,,,,,,,20917,0
410,MAHARASHTRA,Parbhani,,884,864,0,872,253138,368262,0,621400,0,621400,24650,34117,,58767,354,0,,354,15031,0,,15031,4241,4732,,8973,7,92,,99,803,2722,,3526,,,,,,,,,45086,41663,,86750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45086,41663,,86750,2439,2091,,4531,42647,39572,,82219,847,1103,,1950,0,0,,0,16964,19248,,36212,17812,20351,,38162,42,51,,46,847,1103,,1950,24836,19221,,44057,,,,,,,,,,,,,,0,,82219,,,,,,,,,,,,,,82219,0
411,MAHARASHTRA,Pune,,534,745,467,683,337817,910189,27722,1275728,0,1275728,19749,75749,1487,96985,11153,0,0,11153,38278,0,0,38278,11496,15504,2353,29353,261,567,0,828,1075,21111,0,22186,,,,,,,,,82012,112931,3839,198782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82012,112931,3839,198782,5342,6947,239,12528,76669,105984,3601,186254,2847,5215,353,8415,0,0,0,0,45587,61848,9411,116846,48434,67063,9764,125261,63,63,271,63,2847,5215,353,8415,29075,44282,200,73357,,,,,,,,,,,,,,0,0,182653,3601,,,,,,,,,,,,,182653,3601
412,MAHARASHTRA,Raigad,,2880,2965,0,2962,15294,359465,0,374759,0,374759,1112,30562,,31674,268,0,,268,3784,0,,3784,72,1002,,1074,219,119,,339,0,0,,0,,,,,,,,,5454,31684,,37138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5454,31684,,37138,309,1584,,1894,5145,30099,,35244,114,2050,,2164,0,39,,39,287,4009,,4296,401,6098,,6499,8,20,,18,114,2050,,2164,4743,24031,,28774,,,,,,,,,,,,,,0,,35244,,,,,,,,,,,,,,35244,0
413,MAHARASHTRA,Ratnagiri,,3584,3472,0,3473,6247,505060,0,511307,0,511307,473,38454,,38927,142,0,,142,548,0,,548,47,1345,,1392,76,33,,109,60,169,,229,,,,,,,,,1347,40001,,41347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347,40001,,41347,71,2230,,2301,1276,37771,,39046,82,1254,,1335,0,0,,0,255,5348,,5603,337,6601,,6938,26,17,,18,82,1254,,1335,939,31169,,32108,,,,,,,,,,,,,,0,,39046,,,,,,,,,,,,,,39046,0
414,MAHARASHTRA,Sangli,,596,694,709,654,353157,446293,43308,842758,0,842758,23022,30850,3188,57060,3673,0,0,3673,51508,0,0,51508,10812,6553,0,17365,638,977,0,1616,5387,7954,0,13341,,,,,,,,,95039,46335,3188,144562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95039,46335,3188,144562,6072,2551,319,8942,88967,43784,2869,135621,1714,1660,39,3413,0,0,0,0,43284,23376,0,66660,44998,25036,39,70073,51,57,1,53,1714,1660,39,3413,43969,18962,2830,62931,,,,,,,,,,,,,,0,0,132751,2869,,,,,,,,,,,,,132751,2869
415,MAHARASHTRA,Satara,,1166,1203,0,1200,74326,803181,0,877507,0,877507,7412,58051,,65463,2905,0,,2905,24551,9798,,34349,3466,11590,,15056,611,943,,1554,22,1829,,1851,,,,,,,,,38967,82212,,121178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38967,82212,,121178,3120,4545,,7664,35847,77667,,113514,1191,3776,,4967,0,0,,0,14609,46151,,60760,15800,49927,,65726,44,64,,58,1191,3776,,4967,20047,28005,,48052,,,,,,,,,,,,,,0,,113514,,,,,,,,,,,,,,113514,0
416,MAHARASHTRA,Sindhudurg,,3528,3464,0,3465,2261,277045,0,279306,0,279306,186,20740,,20927,41,0,,41,188,0,,188,68,1842,,1910,101,82,,182,14,212,,227,,,,,,,,,597,22876,,23474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597,22876,,23474,38,1144,,1181,560,21732,,22292,64,2205,,2269,0,7,,7,271,7367,,7638,335,9580,,9915,60,44,,44,64,2205,,2269,225,12152,,12377,,,,,,,,,,,,,,0,,22292,,,,,,,,,,,,,,22292,0
417,MAHARASHTRA,Solapur,,641,667,0,664,197286,1286604,0,1483890,0,1483890,12078,83028,,95106,2254,0,,2254,12438,0,,12438,5774,18235,,24009,10,252,,262,2019,11652,,13671,,,,,,,,,34574,113167,,147742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34574,113167,,147742,1729,5658,,7387,32845,107509,,140354,1128,3725,,4853,2,1,,3,23051,73036,,96087,24181,76762,,100943,74,71,,72,1128,3725,,4853,10388,31929,,42317,,,,,,,,,,,,,,0,,140354,,,,,,,,,,,,,,140354,0
418,MAHARASHTRA,Thane,,2607,2523,0,2527,10493,222954,0,233447,0,233447,678,14081,,14759,46,0,,46,1294,0,,1294,22,574,,596,123,92,,216,11,357,,368,,,,,,,,,2174,15105,,17279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2174,15105,,17279,122,837,,959,2051,14268,,16319,49,689,,739,0,0,,0,89,2295,,2384,138,2985,,3123,7,21,,19,49,690,,739,1913,11283,,13197,,,,,,,,,,,,,,0,,16319,,,,,,,,,,,,,,16319,0
419,MAHARASHTRA,Wardha,,953,959,0,957,204128,377088,0,581216,0,581216,17833,34667,,52500,1331,0,,1331,8694,0,,8694,3465,6280,,9745,54,248,,301,6185,15173,,21358,,,,,,,,,37562,56367,,93929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37562,56367,,93929,2083,2818,,4901,35479,53549,,89028,1162,2294,,3455,45,74,,119,13862,25131,,38994,15069,27499,,42568,42,51,,48,1162,2294,,3456,20592,26390,,46982,,,,,,,,,,,,,,0,,89028,,,,,,,,,,,,,,89028,0
420,MAHARASHTRA,Washim,,905,912,0,911,27347,453849,0,481196,0,481196,2244,40363,,42607,201,0,,201,3782,0,,3782,554,7481,,8036,466,93,,559,2052,6156,,8208,,,,,,,,,9300,54093,,63393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9300,54093,,63393,466,2822,,3288,8834,51272,,60105,648,1497,,2145,5,4,,9,2218,29926,,32144,2871,31427,,34298,32,61,,57,648,1497,,2145,5963,19845,,25808,,,,,,,,,,,,,,0,,60105,,,,,,,,,,,,,,60105,0
421,MAHARASHTRA,Yawatmal,,997,1011,0,1009,193776,950291,0,1144067,0,1144067,16732,87358,,104090,528,0,,528,7223,0,,7223,1731,7591,,9323,62,667,,728,69,4131,,4199,,,,,,,,,26345,99747,,126092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26345,99747,,126092,1583,5106,,6689,24762,94641,,119403,1608,6065,,7672,14,42,,56,6902,30473,,37374,8523,36580,,45103,34,39,,38,1608,6065,,7672,16243,58062,,74305,,,,,,,,,,,,,,0,,119403,,,,,,,,,,,,,,119403,0
422,MANIPUR,BISHNUPUR,,0,1988,0,1988,0,49600,0,49600,0,49600,0,9464,0,9464,,,,,0,0,0,0,0,84,0,84,,135,,135,0,0,,0,,,,,,,,,0,9683,0,9683,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,9683,0,9683,0,968,0,968,0,8714,0,8714,,263,,263,,6,,6,,327,,327,,596,,596,,7,,7,0,290,0,290,0,8091,0,8091,,,,,,,,,,,,,,190080,0,198794,0,0,,0,,0,,,,,,,,198794,0
423,MANIPUR,CHANDEL,,0,0,0,0,0,0,0,0,331300,331300,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,0,,0,,,,,,,,0,0
424,MANIPUR,CHURACHANPUR,,0,2133,0,2133,0,32100,0,32100,424900,457000,0,6574,0,6574,,,,,0,0,0,0,0,69,0,69,,0,,0,0,0,,0,,,,,,,,,0,6643,0,6643,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,6643,0,6643,0,664,0,664,0,5979,0,5979,,175,,175,,18,,18,,270,,270,,463,,463,,8,,8,0,176,0,176,0,5515,0,5515,,,,,,,,,,,,,,154080,0,160059,0,0,,0,,0,,,,,,,,160059,0
425,MANIPUR,IMPHAL EAST,,0,1717,0,1717,0,70900,0,70900,0,70900,0,11688,0,11688,,,,,0,191,0,191,0,146,0,146,,663,,663,0,0,,0,,,,,,,,,0,12688,0,12688,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,12688,0,12688,0,1269,0,1269,0,11419,0,11419,,459,,459,,30,,30,,573,,573,,1062,,1062,,9,,9,0,462,0,462,0,10354,0,10354,,,,,,,,,,,,,,178544,0,189963,0,0,,0,,0,,,,,,,,189963,0
426,MANIPUR,IMPHAL WEST,,0,1710,0,1710,0,51900,0,51900,0,51900,0,8520,0,8520,,,,,0,0,0,0,0,73,0,73,,153,,153,0,0,,0,,,,,,,,,0,8745,0,8745,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,8745,0,8745,0,875,0,875,0,7871,0,7871,,521,,521,,24,,24,,285,,285,,830,,830,,11,,11,0,524,0,524,0,7037,0,7037,,,,,,,,,,,,,,188560,0,196431,0,0,,0,,0,,,,,,,,196431,0
427,MANIPUR,SENAPATI,,0,0,0,0,0,0,0,0,327100,327100,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,0,,0,,,,,,,,0,0
428,MANIPUR,TAMENGLONG,,0,0,0,0,0,0,0,0,439100,439100,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,0,,0,,,,,,,,0,0
429,MANIPUR,THOUBAL,,0,1277,0,1277,0,51400,0,51400,0,51400,0,6300,0,6300,,,,,0,0,0,0,0,61,0,61,,53,,53,0,0,,0,,,,,,,,,0,6415,0,6415,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,6415,0,6415,0,641,0,641,0,5773,0,5773,,425,,425,,0,,0,,240,,240,,665,,665,,12,,12,0,427,0,427,0,5106,0,5106,,,,,,,,,,,,,,220800,0,226573,0,0,,0,,0,,,,,,,,226573,0
430,MANIPUR,UKHRUL,,0,0,0,0,0,0,0,0,454400,454400,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,0,,0,,,,,,,,0,0
431,MEGHALAYA,EAST GARO HILLS,,0,2975,0,2975,0,50215,0,50215,94085,144300,0,7740,0,7740,,,,,0,727,0,727,0,0,0,0,,24,,24,,1,,1,,,,,,,,,0,8493,0,8493,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8493,0,8493,0,849,0,849,0,7643,0,7643,,346,,346,,0,,0,,0,,0,,346,,346,,5,,5,0,488,0,488,0,7155,0,7155,,,,,,,0,0,73,,,,,27214,0,34857,0,0,,0,,0,,,,,,,,34857,0
432,MEGHALAYA,EAST JAINTIA HILLS,,0,2320,0,2320,0,82735,0,82735,121265,204000,0,16774,0,16774,,,,,0,1,0,1,0,0,0,0,,21,,21,,0,,0,,,,,,,,,0,16796,0,16796,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16796,0,16796,0,1680,0,1680,0,15116,0,15116,,195,,195,,39,,39,,0,,0,,234,,234,,2,,2,0,294,0,294,0,14783,0,14783,,,,,,,0,0,14,,,,,21592,0,36708,0,0,,0,,0,,,,,,,,36708,0
433,MEGHALAYA,EAST KHASI HILLS,,0,4032,0,4032,0,86732,0,86732,188068,274800,0,21764,0,21764,,,,,0,10,0,10,0,0,0,0,,42,,42,,2,,2,,,,,,,,,0,21817,0,21817,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21817,0,21817,0,2182,0,2182,0,19636,0,19636,,663,,663,,35,,35,,0,,0,,698,,698,,4,,4,0,879,0,879,0,18721,0,18721,,,,,,,0,0,201,,,,,17362,0,36998,0,0,,0,,0,,,,,,,,36998,0
434,MEGHALAYA,NORTH GARO HILLS,,0,2803,0,2803,0,37031,0,37031,78969,116000,0,7338,0,7338,,,,,0,2496,0,2496,0,0,0,0,,25,,25,,0,,0,,,,,,,,,0,9860,0,9860,,,,,,,,,,,,0,,,,0,0,0,0,0,0,1131,0,1131,0,0,0,0,0,-1131,0,-1131,0,8730,0,8730,0,986,0,986,0,7744,0,7744,,416,,416,,81,,81,,2,,2,,499,,499,,6,,6,0,571,0,571,0,7090,0,7090,,,,,,,0,0,6,,,,,37827,0,45571,0,0,,0,,0,,,,,,,,45571,0
435,MEGHALAYA,RI BHOI,,0,2030,0,2030,0,68878,0,68878,175922,244800,0,6373,0,6373,,,,,0,57,0,57,0,0,0,0,,53,,53,,0,,0,,,,,,,,,0,6484,0,6484,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6484,0,6484,0,648,0,648,0,5835,0,5835,,322,,322,,33,,33,,0,,0,,355,,355,,6,,6,0,487,0,487,0,5315,0,5315,,,,,,,0,0,33,,,,,10115,0,15951,0,0,,0,,0,,,,,,,,15951,0
436,MEGHALAYA,SOUTH GARO HILLS,,0,4210,0,4210,0,65957,0,65957,122743,188700,0,23405,0,23405,,,,,0,28,0,28,0,0,0,0,,41,,41,,0,,0,,,,,,,,,0,23474,0,23474,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23474,0,23474,0,2347,0,2347,0,21126,0,21126,,257,,257,,0,,0,,0,,0,,257,,257,,1,,1,0,357,0,357,0,20769,0,20769,,,,,,,0,0,7,,,,,31525,0,52652,0,0,,0,,0,,,,,,,,52652,0
437,MEGHALAYA,SOUTH WEST GARO HILLS,,0,1634,0,1634,0,42520,0,42520,44080,86600,0,7713,0,7713,,,,,0,63,0,63,0,179,0,179,,34,,34,,1,,1,,,,,,,,,0,7990,0,7990,,,,,,,,,,,,0,,,,0,0,25,0,25,0,3290,0,3290,0,0,0,0,0,-3315,0,-3315,0,4675,0,4675,0,799,0,799,0,3876,0,3876,,255,,255,,0,,0,,512,,512,,766,,766,,20,,20,0,289,0,289,0,3075,0,3075,,,,,,,0,0,5,,,,,52551,0,56427,0,0,,0,,0,,,,,,,,56427,0
